----------------------------------------------------------
Intel Corporation Socwatch Tool Version 1.2.1 Release  (INTERNAL)
Copyright (c) 2009-2013, Intel Corp. All Rights Reserved.
For use with Intel(R) processors, chipsets and platforms.
Strictly For Intel Internal Use Only.
email: SoCWatchDevelopers@intel.com 
----------------------------------------------------------

,Captured for,    140.0 seconds,
,----------,----------,----------
,   Core C State Residency        
,----------,----------,----------
,         ,      Core0,      Core1
,----------,----------,----------

,       CC0,      0.6%,      0.7%,
,       CC1,      0.0%,      0.1%,
,       CC6,     99.3%,     99.2%,
,----------,----------
,   Module C State Residency        
,----------,----------
,         ,    Module0
,----------,----------

,       MC0,      1.7%,
,       MC2,      0.0%,
,       MC4,      0.0%,
,       MC6,     98.3%,
,----------,----------
,   Package C State Residency        
,----------,----------
,         ,   Package0
,----------,----------

,       PC0,      1.9%,
,       PC2,      0.0%,
,       PC4,      0.0%,
,       PC6,     98.1%,

,----------,Wakeup Information,----------,----------,
WU Type = Wakeup Type ,
          => TIM(Timer), IRQ(Interrupt), SCHED(sched switch), IPI (LOC, RES, CALL, TLB), WRQ (WorkQueue)
             BDRY (begin), ABRT (abort), UNK (Unknown), EOF (End of File),
WU Count = Number of times the timer/irq/other have woken up the system from specified c-state ,
WU Data = Proc PID if WU Type == TIM, IRQ# if WU Type == IRQ, Undefined otherwise,
WU Name = Proc Name if WU Type = TIM, device driver string if WU_TYPE == IRQ, Undefined otherwise,
,-----------,-----------,-----------,-----------,-----------,

Wakeups/sec/core = 14.2


----------,----------,----------,----------,----------------,
      Core0 C1 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,       TIM,         4,         0,         swapper,
         1,       TIM,         3,        67,         mmcqd/0,
         2,       TIM,         1,      1839,        socwatch,
         3,     SCHED,         1,         0,             ---,
         4,       UNK,         1,         0,             ---,

----------,----------,----------,----------,----------------,
      Core1 C1 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,       TIM,        53,        67,         mmcqd/0,
         1,       TIM,        17,       535,     kworker/1:4,
         2,       TIM,        12,         0,         swapper,
         3,       TIM,        11,       573, ndroid.systemui,
         4,       IRQ,         8,         0,            mmc0,
         5,       IPI,         4,         0,             ---,
         6,       TIM,         4,      1839,        socwatch,
         7,       IRQ,         4,        48,   intel_scu_ipc,
         8,       UNK,         2,         0,             ---,
         9,       IRQ,         2,        71,        pvrsrvkm,
        10,       TIM,         1,        12,      watchdog/1,
        11,     SCHED,         1,         0,             ---,

----------,----------,----------,----------,----------------,
      Core0 C6 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,       TIM,       720,      1839,        socwatch,
         1,       TIM,       313,        67,         mmcqd/0,
         2,     SCHED,       151,         0,             ---,
         3,       IRQ,       122,         0,            mmc0,
         4,       TIM,       114,         0,         swapper,
