----------------------------------------------------------
Intel Corporation Socwatch Tool Version 1.2.0 Release  (INTERNAL)
Copyright (c) 2009-2013, Intel Corp. All Rights Reserved.
For use with Intel(R) processors, chipsets and platforms.
Strictly For Intel Internal Use Only.
email: SoCWatchDevelopers@intel.com 
----------------------------------------------------------

,Captured for,    140.0 seconds,
,----------,----------,----------
,   Core C State Residency        
,----------,----------,----------
,         ,      Core0,      Core1
,----------,----------,----------

,       CC0,     55.7%,     47.7%,
,       CC1,      5.9%,      6.3%,
,       CC6,     38.4%,     46.0%,
,----------,----------
,   Module C State Residency        
,----------,----------
,         ,    Module0
,----------,----------

,       MC0,     76.6%,
,       MC2,      0.0%,
,       MC4,      0.0%,
,       MC6,     23.4%,
,       MC6C,      0.0%,
,----------,----------
,   Package C State Residency        
,----------,----------
,         ,   Package0
,----------,----------

,       PC0,     77.9%,
,       PC2,      0.0%,
,       PC4,      0.0%,
,       PC6,     22.1%,
,       PC6C,      0.0%,

,----------,Wakeup Information,----------,----------,
WU Type = Wakeup Type ,
          => TIM(Timer), IRQ(Interrupt), SCHED(sched switch), IPI (LOC, RES, CALL, TLB), WRQ (WorkQueue)
             BDRY (begin), ABRT (abort), UNK (Unknown), EOF (End of File),
WU Count = Number of times the timer/irq/other have woken up the system from specified c-state ,
WU Data = Proc PID if WU Type == TIM, IRQ# if WU Type == IRQ, Undefined otherwise,
WU Name = Proc Name if WU Type = TIM, device driver string if WU_TYPE == IRQ, Undefined otherwise,
,-----------,-----------,-----------,-----------,-----------,

Wakeups/sec/core = 380.1


----------,----------,----------,----------,----------------,
      Core0 C1 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,      7495,         0,             ---,
         1,       TIM,      2474,       181,             ---,
         2,       TIM,      2402,         0,         swapper,
         3,       IRQ,       904,        71,        pvrsrvkm,
         4,       TIM,       760,       174,     mediaserver,
         5,       IRQ,       520,        72,         isp_irq,
         6,       IRQ,       453,         0,            mmc0,
         7,       IRQ,       298,        13,i2c-designware-pci-4,
         8,       IRQ,       262,        24,intel_sst_driver,
         9,       UNK,       211,         0,             ---,

----------,----------,----------,----------,----------------,
      Core1 C1 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,      7439,         0,             ---,
         1,       TIM,      3044,         0,         swapper,
         2,       TIM,      2687,       181,             ---,
         3,       TIM,      2239,       174,     mediaserver,
         4,       TIM,      1002,        27, irq/47-intel_ps,
         5,       IRQ,       964,        71,        pvrsrvkm,
         6,       IRQ,       566,         0,            mmc0,
         7,       IRQ,       531,        72,         isp_irq,
         8,       TIM,       356,      2028,        socwatch,
         9,       IRQ,       323,        13,i2c-designware-pci-4,

----------,----------,----------,----------,----------------,
      Core0 C6 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,     14492,         0,             ---,
         1,       IRQ,      6431,        71,        pvrsrvkm,
         2,       IRQ,      2550,        72,         isp_irq,
         3,       TIM,      1859,       181,             ---,
         4,       IRQ,      1481,        24,intel_sst_driver,
         5,       TIM,      1318,         0,         swapper,
         6,       IRQ,      1194,        13,i2c-designware-pci-4,
         7,       IRQ,       459,         0,            mmc0,
         8,       TIM,       442,       174,     mediaserver,
         9,       UNK,       230,         0,             ---,

----------,----------,----------,----------,----------------,
      Core1 C6 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,     17632,         0,             ---,
         1,       IRQ,      7195,        71,        pvrsrvkm,
         2,       IRQ,      3919,        72,         isp_irq,
         3,       TIM,      2112,       181,             ---,
         4,       TIM,      1872,         0,         swapper,
         5,       IRQ,      1806,        24,intel_sst_driver,
         6,       TIM,      1357,       174,     mediaserver,
         7,       IRQ,      1072,        13,i2c-designware-pci-4,
         8,       IRQ,       404,         0,            mmc0,
         9,       UNK,       240,         0,             ---,











,----------,-----------,----------,
,       P State Residency         ,
,----------,-----------,----------,
,----------,  Core 0   ,----------,
,      P[0],            2001-2133,      0.5%,
,      P[0],            1867-2000,      0.1%,
,      P[0],            1734-1866,      0.3%,
,      P[0],            1601-1733,      1.4%,
,      P[0],            1467-1600,      2.1%,
,      P[0],            1334-1466,      1.4%,
,      P[1],            1333,      0.6%,
,      P[2],            1200,      0.3%,
,      P[3],            1066,      1.6%,
