----------------------------------------------------------
Intel Corporation Socwatch Tool Version 1.2.0 Release  (INTERNAL)
Copyright (c) 2009-2013, Intel Corp. All Rights Reserved.
For use with Intel(R) processors, chipsets and platforms.
Strictly For Intel Internal Use Only.
email: SoCWatchDevelopers@intel.com 
----------------------------------------------------------

,Captured for,    140.0 seconds,
,----------,----------,----------
,   Core C State Residency        
,----------,----------,----------
,         ,      Core0,      Core1
,----------,----------,----------

,       CC0,     42.5%,     39.7%,
,       CC1,      8.2%,      8.9%,
,       CC6,     49.3%,     51.4%,
,----------,----------
,   Module C State Residency        
,----------,----------
,         ,    Module0
,----------,----------

,       MC0,     65.0%,
,       MC2,      0.0%,
,       MC4,      0.0%,
,       MC6,     35.0%,
,       MC6C,      0.0%,
,----------,----------
,   Package C State Residency        
,----------,----------
,         ,   Package0
,----------,----------

,       PC0,     66.2%,
,       PC2,      0.0%,
,       PC4,      0.0%,
,       PC6,     33.8%,
,       PC6C,      0.0%,

,----------,Wakeup Information,----------,----------,
WU Type = Wakeup Type ,
          => TIM(Timer), IRQ(Interrupt), SCHED(sched switch), IPI (LOC, RES, CALL, TLB), WRQ (WorkQueue)
             BDRY (begin), ABRT (abort), UNK (Unknown), EOF (End of File),
WU Count = Number of times the timer/irq/other have woken up the system from specified c-state ,
WU Data = Proc PID if WU Type == TIM, IRQ# if WU Type == IRQ, Undefined otherwise,
WU Name = Proc Name if WU Type = TIM, device driver string if WU_TYPE == IRQ, Undefined otherwise,
,-----------,-----------,-----------,-----------,-----------,

Wakeups/sec/core = 639.6


----------,----------,----------,----------,----------------,
      Core0 C1 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,     33798,         0,             ---,
         1,       IRQ,      5995,        38,            mmc2,
         2,       TIM,      5415,         0,         swapper,
         3,       IRQ,      3188,        40,    bcmsdh_sdmmc,
         4,       TIM,      1428,       177,     mediaserver,
         5,       IRQ,       841,         0,            mmc0,
         6,       IRQ,       810,        71,        pvrsrvkm,
         7,       TIM,       691,       198,          logcat,
         8,       IRQ,       231,        24,intel_sst_driver,
         9,       TIM,       219,      2932,        socwatch,

----------,----------,----------,----------,----------------,
      Core1 C1 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,       IRQ,     25721,        38,            mmc2,
         1,     SCHED,     16102,         0,             ---,
         2,       IRQ,      3874,        40,    bcmsdh_sdmmc,
         3,       TIM,      3292,         0,         swapper,
         4,       TIM,      2141,       177,     mediaserver,
         5,       IRQ,      1006,        71,        pvrsrvkm,
         6,       IRQ,       846,         0,            mmc0,
         7,       TIM,       714,       198,          logcat,
         8,       IPI,       328,         0,             ---,
         9,       IRQ,       313,        24,intel_sst_driver,

----------,----------,----------,----------,----------------,
      Core0 C6 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,     22073,         0,             ---,
         1,       IRQ,      4180,        71,        pvrsrvkm,
         2,       TIM,      2184,         0,         swapper,
         3,       IRQ,      1527,        24,intel_sst_driver,
         4,       TIM,      1232,       177,     mediaserver,
         5,       TIM,       935,       198,          logcat,
         6,       IRQ,       359,         0,            mmc0,
         7,       IRQ,       163,        38,            mmc2,
         8,       TIM,       138,      2143, dboxed_process0,
         9,       IRQ,        97,        40,    bcmsdh_sdmmc,

----------,----------,----------,----------,----------------,
      Core1 C6 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,     22853,         0,             ---,
         1,       IRQ,      4325,        71,        pvrsrvkm,
         2,       TIM,      2415,         0,         swapper,
         3,       TIM,      1875,       177,     mediaserver,
         4,       IRQ,      1586,        24,intel_sst_driver,
         5,       IRQ,      1008,        38,            mmc2,
         6,       TIM,       918,       198,          logcat,
         7,       IRQ,       361,         0,            mmc0,
         8,       TIM,       189,      2932,        socwatch,
         9,       IRQ,       173,        40,    bcmsdh_sdmmc,











,----------,-----------,----------,
,       P State Residency         ,
,----------,-----------,----------,
,----------,  Core 0   ,----------,
,      P[0],            2001-2133,      1.3%,
,      P[0],            1867-2000,      0.0%,
,      P[0],            1734-1866,      1.1%,
,      P[0],            1601-1733,      0.3%,
,      P[0],            1467-1600,      0.5%,
,      P[0],            1334-1466,      0.6%,
,      P[1],            1333,      0.9%,
,      P[2],            1200,      1.1%,
