----------------------------------------------------------
Intel Corporation Socwatch Tool Version 1.2.1 Release  (INTERNAL)
Copyright (c) 2009-2013, Intel Corp. All Rights Reserved.
For use with Intel(R) processors, chipsets and platforms.
Strictly For Intel Internal Use Only.
email: SoCWatchDevelopers@intel.com 
----------------------------------------------------------

,Captured for,    140.0 seconds,
,----------,----------,----------
,   Core C State Residency        
,----------,----------,----------
,         ,      Core0,      Core1
,----------,----------,----------

,       CC0,     53.2%,     59.8%,
,       CC1,      7.4%,      6.3%,
,       CC6,     39.4%,     33.9%,
,----------,----------
,   Module C State Residency        
,----------,----------
,         ,    Module0
,----------,----------

,       MC0,     82.2%,
,       MC2,      0.0%,
,       MC4,      0.0%,
,       MC6,     17.8%,
,----------,----------
,   Package C State Residency        
,----------,----------
,         ,   Package0
,----------,----------

,       PC0,     83.3%,
,       PC2,      0.0%,
,       PC4,      0.0%,
,       PC6,     16.7%,

,----------,Wakeup Information,----------,----------,
WU Type = Wakeup Type ,
          => TIM(Timer), IRQ(Interrupt), SCHED(sched switch), IPI (LOC, RES, CALL, TLB), WRQ (WorkQueue)
             BDRY (begin), ABRT (abort), UNK (Unknown), EOF (End of File),
WU Count = Number of times the timer/irq/other have woken up the system from specified c-state ,
WU Data = Proc PID if WU Type == TIM, IRQ# if WU Type == IRQ, Undefined otherwise,
WU Name = Proc Name if WU Type = TIM, device driver string if WU_TYPE == IRQ, Undefined otherwise,
,-----------,-----------,-----------,-----------,-----------,

Wakeups/sec/core = 320.3


----------,----------,----------,----------,----------------,
      Core0 C1 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,       TIM,      4588,       197,             ---,
         1,     SCHED,      3555,         0,             ---,
         2,       TIM,      2759,         0,         swapper,
         3,       TIM,      1285,       174,        Binder_1,
         4,       IRQ,       692,        71,        pvrsrvkm,
         5,       IRQ,       365,        72,         isp_irq,
         6,       TIM,       297,        67,         mmcqd/0,
         7,       UNK,       186,         0,             ---,
         8,       IRQ,       178,        13,i2c-designware-4,
         9,       TIM,       162,      2009,        socwatch,
        10,       IRQ,       142,        24,intel_sst_driver,
        11,       TIM,       130,        27, irq/47-intel_ps,
        12,       IRQ,       122,         0,            mmc0,
        13,       TIM,        39,         4,     kworker/0:0,
        14,       TIM,        23,        12,      watchdog/1,
        15,       IRQ,        17,        47,   intel_psh_ipc,
        16,       TIM,        16,      1810, .intel.camera22,
        17,       IRQ,        12,        48,   intel_scu_ipc,
        18,       IPI,        10,         0,             ---,
        19,       TIM,        10,        29,     kworker/0:1,
        20,       TIM,        10,        11,      watchdog/0,
        21,       IRQ,         9,        10,i2c-designware-2,
        22,       IRQ,         7,         7,   SCHED_SOFTIRQ,
        23,       TIM,         4,       449,   system_server,
        24,       IRQ,         3,        50,             adc,
        25,       TIM,         1,       190,          logcat,
        26,       IRQ,         1,        27,   i2c_pmic_adap,

----------,----------,----------,----------,----------------,
      Core1 C1 Wakeup Info,
----------,----------,----------,----------,----------------,
