----------------------------------------------------------
Intel Corporation Socwatch Tool Version 1.2.1 Release  (INTERNAL)
Copyright (c) 2009-2013, Intel Corp. All Rights Reserved.
For use with Intel(R) processors, chipsets and platforms.
Strictly For Intel Internal Use Only.
email: SoCWatchDevelopers@intel.com 
----------------------------------------------------------

,Captured for,    140.0 seconds,
,----------,----------,----------
,   Core C State Residency        
,----------,----------,----------
,         ,      Core0,      Core1
,----------,----------,----------

,       CC0,     38.7%,     38.0%,
,       CC1,      9.7%,      9.4%,
,       CC6,     51.6%,     52.7%,
,----------,----------
,   Module C State Residency        
,----------,----------
,         ,    Module0
,----------,----------

,       MC0,     67.1%,
,       MC2,      0.0%,
,       MC4,      0.0%,
,       MC6,     32.9%,
,----------,----------
,   Package C State Residency        
,----------,----------
,         ,   Package0
,----------,----------

,       PC0,     68.7%,
,       PC2,      0.0%,
,       PC4,      0.0%,
,       PC6,     31.3%,

,----------,Wakeup Information,----------,----------,
WU Type = Wakeup Type ,
          => TIM(Timer), IRQ(Interrupt), SCHED(sched switch), IPI (LOC, RES, CALL, TLB), WRQ (WorkQueue)
             BDRY (begin), ABRT (abort), UNK (Unknown), EOF (End of File),
WU Count = Number of times the timer/irq/other have woken up the system from specified c-state ,
WU Data = Proc PID if WU Type == TIM, IRQ# if WU Type == IRQ, Undefined otherwise,
WU Name = Proc Name if WU Type = TIM, device driver string if WU_TYPE == IRQ, Undefined otherwise,
,-----------,-----------,-----------,-----------,-----------,

Wakeups/sec/core = 421.3


----------,----------,----------,----------,----------------,
      Core0 C1 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,      5272,         0,             ---,
         1,       TIM,      4008,        67,         mmcqd/0,
         2,       IRQ,      1704,        48,   intel_scu_ipc,
         3,       TIM,      1554,         0,         swapper,
         4,       TIM,      1442,       174,     mediaserver,
         5,       IRQ,       713,        71,        pvrsrvkm,
         6,       IRQ,       614,        27,   i2c_pmic_adap,
         7,       IRQ,       572,        10,i2c-designware-2,
         8,       IRQ,       265,         0,            mmc0,
         9,       IRQ,       199,        24,intel_sst_driver,
        10,       TIM,       102,      1973,        socwatch,
        11,       IRQ,       100,        50,             adc,
        12,       TIM,        67,         4,     kworker/0:0,
        13,       TIM,        64,       187,             ---,
        14,       TIM,        58,       218,     kworker/0:4,
        15,       TIM,        40,        24,     kworker/0:1,
        16,       TIM,        29,       186,          logcat,
        17,       TIM,        25,       574, ndroid.systemui,
        18,       UNK,        22,         0,             ---,
        19,       IPI,        13,         0,             ---,
        20,       TIM,        11,        12,      watchdog/1,
        21,       TIM,         9,      1915, droid.gallery3d,
        22,       TIM,         5,      1837,     com.dispmgr,
        23,       TIM,         5,       450,   system_server,
        24,       TIM,         4,        11,      watchdog/0,
        25,       IRQ,         3,         7,   SCHED_SOFTIRQ,
        26,       TIM,         1,       970,             ---,
        27,       TIM,         1,       972,             ---,

----------,----------,----------,----------,----------------,
      Core1 C1 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,       TIM,      4065,        67,         mmcqd/0,
         1,     SCHED,      3744,         0,             ---,
         2,       IRQ,      2002,        48,   intel_scu_ipc,
         3,       TIM,      1832,       174,     mediaserver,
         4,       TIM,      1735,         0,         swapper,
         5,       IRQ,       876,        10,i2c-designware-2,
         6,       IRQ,       654,        71,        pvrsrvkm,
         7,       IRQ,       546,        27,   i2c_pmic_adap,
         8,       IRQ,       203,         0,            mmc0,
         9,       IRQ,       162,        24,intel_sst_driver,
        10,       TIM,       153,       186,          logcat,
        11,       TIM,       140,      1973,        socwatch,
        12,       IRQ,        74,        50,             adc,
        13,       TIM,        64,       187,             ---,
        14,       TIM,        42,        15,     kworker/1:0,
        15,       UNK,        27,         0,             ---,
        16,       TIM,        23,       574, ndroid.systemui,
        17,       IPI,        21,         0,             ---,
        18,       TIM,        20,        88,     kworker/1:3,
        19,       TIM,        20,        12,      watchdog/1,
        20,       TIM,        15,      1915, droid.gallery3d,
        21,       TIM,         8,      1837,     com.dispmgr,
        22,       IRQ,         5,         7,   SCHED_SOFTIRQ,
        23,       TIM,         5,       450,   system_server,
        24,       WRQ,         1,         0,             ---,

----------,----------,----------,----------,----------------,
      Core0 C6 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,     24002,         0,             ---,
         1,       IRQ,      5345,        71,        pvrsrvkm,
