----------------------------------------------------------
Intel Corporation Socwatch Tool Version 1.2.1 Release  (INTERNAL)
Copyright (c) 2009-2013, Intel Corp. All Rights Reserved.
For use with Intel(R) processors, chipsets and platforms.
Strictly For Intel Internal Use Only.
email: SoCWatchDevelopers@intel.com 
----------------------------------------------------------

,Captured for,    140.0 seconds,
,----------,----------,----------
,   Core C State Residency        
,----------,----------,----------
,         ,      Core0,      Core1
,----------,----------,----------

,       CC0,     55.8%,     54.5%,
,       CC1,     14.1%,     15.6%,
,       CC6,     30.1%,     29.9%,
,----------,----------
,   Module C State Residency        
,----------,----------
,         ,    Module0
,----------,----------

,       MC0,     87.6%,
,       MC2,      0.0%,
,       MC4,      0.0%,
,       MC6,     12.4%,
,----------,----------
,   Package C State Residency        
,----------,----------
,         ,   Package0
,----------,----------

,       PC0,     88.4%,
,       PC2,      0.0%,
,       PC4,      0.0%,
,       PC6,     11.6%,

,----------,Wakeup Information,----------,----------,
WU Type = Wakeup Type ,
          => TIM(Timer), IRQ(Interrupt), SCHED(sched switch), IPI (LOC, RES, CALL, TLB), WRQ (WorkQueue)
             BDRY (begin), ABRT (abort), UNK (Unknown), EOF (End of File),
WU Count = Number of times the timer/irq/other have woken up the system from specified c-state ,
WU Data = Proc PID if WU Type == TIM, IRQ# if WU Type == IRQ, Undefined otherwise,
WU Name = Proc Name if WU Type = TIM, device driver string if WU_TYPE == IRQ, Undefined otherwise,
,-----------,-----------,-----------,-----------,-----------,

Wakeups/sec/core = 426.2


----------,----------,----------,----------,----------------,
      Core0 C1 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,      5478,         0,             ---,
         1,       TIM,      4594,       197,             ---,
         2,       TIM,      3466,        67,         mmcqd/0,
         3,       TIM,      2180,       173,     mediaserver,
         4,       IRQ,      1889,        71,        pvrsrvkm,
         5,       TIM,      1699,       193,          logcat,
         6,       TIM,      1641,         0,         swapper,
         7,       UNK,       627,         0,             ---,
         8,       IRQ,       187,        24,intel_sst_driver,
         9,       TIM,       148,      1952,        socwatch,
        10,       IRQ,       130,         0,            mmc0,
        11,       IPI,        39,         0,             ---,
        12,       TIM,        35,       222,     kworker/0:4,
        13,       TIM,        16,      1770, droid.gallery3d,
        14,       TIM,        10,        12,      watchdog/1,
        15,       TIM,         9,      1844,     com.dispmgr,
        16,       TIM,         9,       286,     kworker/0:5,
        17,       TIM,         6,        11,      watchdog/0,
        18,       IRQ,         3,        10,i2c-designware-2,
        19,       IRQ,         3,        48,   intel_scu_ipc,
        20,       IRQ,         3,         7,   SCHED_SOFTIRQ,
        21,       TIM,         2,       450,   system_server,
        22,       IRQ,         2,        27,   i2c_pmic_adap,
        23,       TIM,         1,       464,             ---,
        24,       TIM,         1,       650,             ---,
        25,       IRQ,         1,        50,             adc,
        26,       TIM,         1,       162,    ia_watchdogd,

----------,----------,----------,----------,----------------,
      Core1 C1 Wakeup Info,
----------,----------,----------,----------,----------------,
